feature,regime,n,ols_mae_ticks,zero_mae_ticks,calibrated_accuracy,majority_accuracy,macro_f1
volatility,low,0,,,,,
volatility,medium,0,,,,,
volatility,high,2699,3.037437528656791,3.103742126714719,0.4712856613560578,0.46795109299740645,0.31891111245878406
spread,low,885,2.869520121993972,2.861016949154236,0.33785310734463275,0.327683615819209,0.3249592716256419
spread,medium,1616,3.124959284260248,3.206064356435905,0.5297029702970297,0.5297029702970297,0.24565689986239966
spread,high,198,3.073658477350775,3.3535353535409387,0.5909090909090909,0.5909090909090909,0.24761904761904763
depth,low,892,3.082235212563274,3.1233183856524103,0.476457399103139,0.4585201793721973,0.3374931990000889
depth,medium,899,2.9342020088303076,3.013348164629727,0.48164627363737483,0.4872080088987764,0.3242967646232324
depth,high,908,3.095641491519593,3.1740088105715327,0.45594713656387664,0.4581497797356828,0.29286094942861934
